Wasima Steinmetz,4.539E+15,Nov-16,362,1
Staci Renwick,4.55617E+15,Jul-17,684,2
Pauravi Robitaille,4.92971E+15,Feb-18,942,3
Janak Dahms,4.02401E+15,Jan-16,22,4
Ama Hartsell,4.92985E+15,Aug-19,789,5
Ireta Barkley,4.92967E+15,Nov-18,327,6
Alberta Thai,4.71629E+15,Aug-16,621,7
Cochiti Spurgeon,4.5565E+15,Jul-17,647,8
Fran Blohm,4.92961E+15,Sep-16,868,9
Constantine Vicknair,4.91651E+15,Apr-19,529,10
Aroon Hasty,4.02401E+15,Mar-19,602,11
Sylvie Utley,4.91691E+15,Dec-18,287,12
Faine Noel,4.71617E+15,Jul-18,411,13
Effie Glasco,4.48529E+15,Mar-17,825,14
Armorel Lombardo,4.92991E+15,Apr-16,831,15
Vyasa Barbieri,4.917E+15,Jul-18,499,16
Helouse Teran,4.02401E+15,Sep-19,488,17
Burle Kegley,4.53985E+15,May-17,19,18
Galia Millar,4.92991E+15,May-17,404,19
Enda Northup,4.4856E+15,Aug-16,805,20
Innocent Early,4.92926E+15,Jul-17,475,21
Filberta Armentrout,4.43351E+15,Aug-18,954,22
Kelvin Cecil,4.53979E+15,Mar-17,513,23
Ben Hoppe,4.71662E+15,May-19,930,24
Christian Zaleski,4.71666E+15,Sep-19,60,25
Hadwin Filer,4.9165E+15,Sep-19,284,26
Hannu Parkey,4.55674E+15,Jun-18,602,27
Roni Onofre,4.48515E+15,Aug-18,300,28
Fernleigh Hopper,4.91651E+15,Apr-19,529,29
Nicholas Orme,4.71686E+15,Jul-17,667,30
Spring Chisholm,4.91619E+15,Jun-19,466,31
Warton Waters,4.53217E+15,Nov-16,971,32
Tuvya Hollon,4.46403E+15,Jun-18,127,33
Brighton Marty,4.53925E+15,Jan-16,807,34
Srinivas Almond,4.91649E+15,Jan-16,33,35
Rand Vicknair,4.4855E+15,May-19,140,36
Zenda Ruggiero,4.53925E+15,Mar-17,189,37
Trelawney Basurto,4.5569E+15,Jun-17,416,38
Corona Detrick,4.92903E+15,Jan-18,11,39
Warwick Deen,4.71633E+15,Jan-17,83,40
Pearl Lovins,4.65094E+15,Apr-17,995,41
Derwyn Detweiler,4.53943E+15,Jun-18,307,42
Ezra Padula,4.92991E+15,May-17,404,43
Scarus Ta,4.48563E+15,Oct-19,975,44
Jonah Usher,4.55693E+15,Mar-16,84,45
Trixy Campa,4.02401E+15,Sep-18,4,46
Devereux Kollar,4.53985E+15,May-17,19,47
Arlo Shiner,4.02401E+15,Apr-16,283,48
Kaede Trusty,4.92985E+15,Nov-16,368,49
Onenn Hatton,4.91616E+15,Nov-17,486,50
Fabian Haygood,4.5569E+15,Jun-17,416,51
Deana Fielder,4.71686E+15,May-19,704,52
Sabir Deegan,4.5392E+15,Jun-16,24,53
Naoko Dotson,4.92901E+15,Oct-18,503,54
Vitus Blanco,4.80155E+15,Jun-16,534,55
Aderes Hering,4.48576E+15,Mar-18,599,56
Arval Rourke,4.55664E+15,Aug-16,56,57
Alberta Mastin,4.48577E+15,Mar-19,178,58
Oleander Gebhart,4.48544E+15,May-17,687,59
Abner Streeter,4.7167E+15,Dec-19,967,60
Mathew Montanez,4.55617E+15,Jul-17,684,61
Trixy Mickelson,4.71689E+15,Feb-18,867,62
Loring Lurie,4.91681E+15,Nov-17,422,63
Marron Dunkley,4.71617E+15,Feb-18,395,64
Shanelle Ratner,4.53265E+15,Apr-17,866,65
Latif Houghton,4.55669E+15,Sep-18,143,66
Dannie Jimerson,4.48502E+15,Mar-18,719,67
Vyasa Baldwin,4.92907E+15,Jan-17,103,68
Cilla Chae,4.71685E+15,Aug-16,114,69
Senon Noel,4.53918E+15,Oct-18,296,70
Cameron Pasley,4.02401E+15,Jun-16,270,71
Haimi Campos,4.9297E+15,Apr-16,102,72
Kazimir Escareno,4.71604E+15,Jan-16,903,73
Kelila Sabatini,4.92991E+15,Aug-18,872,74
Hanan Villano,4.55685E+15,Mar-16,12,75
Tean Albee,4.91665E+15,Jul-19,216,76
Barak Ridenour,4.48529E+15,Jan-16,307,77
Silva Winders,4.91634E+15,Dec-16,268,78
Arley Stump,4.91619E+15,Dec-16,860,79
Barb Denis,4.65094E+15,Apr-17,995,80
Rastus Wilks,4.91612E+15,Oct-19,507,81
Valborg Tosh,4.02401E+15,Nov-17,548,82
Grosvenor Almazan,4.91649E+15,Aug-16,228,83
Jocosa Rigby,4.92999E+15,Sep-19,754,84
Rene Grey,4.48572E+15,Sep-18,754,85
Platona Twitchell,4.92901E+15,Oct-18,503,86
Sapna Villalobos,4.91606E+15,Jul-16,769,87
Lari Leighton,4.71682E+15,Feb-17,800,88
Yoel Reiser,4.55682E+15,Jan-17,533,89
Todd Lowrie,4.48553E+15,Mar-19,151,90
Jayden Cadiz,4.53956E+15,Aug-16,548,91
Angelita Vicknair,4.92998E+15,Dec-19,162,92
Jozef Ealey,4.91606E+15,Jul-16,769,93
Bosley Litton,4.20269E+15,Apr-19,949,94
Atlas Reiser,4.46403E+15,Jun-18,127,95
Pearl Dysart,4.53973E+15,Aug-16,751,96
Farrah Schoenfeld,4.7164E+15,Nov-16,13,97
Saul Castello,4.5321E+15,Jun-19,470,98
Astera Christner,4.55685E+15,Jul-16,871,99
Dicky Overbey,4.53988E+15,Apr-19,50,100
